Liste des clients,Liste des parfums,Liste des adresses ,Liste des modeles diffuseurs,Liste des Ref,Liste des noms des techniciens ,Liste des emplacements,Liste des references bouteilles
716,COSMOS(COS),Jardin Carthage,CTA,AFF,Bilel,SPA,Double (D)
716 CUN,MEL,Ennasr,Wifi,CPM,Ahmed,"""+2""",Simple (S)
716 Menzah6,FG,Millenium Marsa,Astree,BT,Mariem,Recep,SN
A Table Lac1,FC,Menzah8,Iceberg,WIFI,Houssem,WCF,Vrag (V)
A Table Marsa,FE2,Borj Louzir,Tour,,,RDC,
AF Collection Soukra,F.The,Omrane,Zee,,,"""+2""",
AFA Centre Menzah4,NO,GP5,Aromair100,,,Fond,
Alia Megdiche Lac2,FM,Charguia,Aomair50,,,Comptoir,
Alia Megdiche Sfax,ED,Bardo,,,,salle d'attente,
Ambiance D'Autrefois Sousse,AMBER,Alain Savary,,,,Boutique,
Ami Voyage Lafayette,NEROLI,Ben Arous,,,,"""-1""",
Angelo Menzah5,RG,Menzah4,,,,ENTREE G,
Arco Cerame Sfax,FIG,Gremda,,,,"""+1""",
Arena Gym El Manar,LINA (L),Lac2,,,,Salon, 
Arena Gym Soukra,VANILLE,GP8,,,,WCH,
Armani Mall Lac2,COCO,Aouina,,,,ENTREE,
ARS Ariana,FE3,Golf Gammarth,,,,ENTREE D,
ARS Tunisie Ariana,CASH,Chotrana,,,,Caisse,
Art de la table ,ARGUME,Sousse,,,,Recep D,
Arthephage Lac1,PC,Menzah6,,,,Recep G,
Asteel Flash,MELANGE,Millenium Marsa,,,,Cabine H,
Audi La Goulette,MR,Carrefour Marsa,,,,Cabine F,
AVS Aeroport,JB,Charles de Gaulle,,,,,
Barista's Aouina,FT,Foire Kram,,,,,
Barista's Ariana,OB,Ezzahra,,,,,
Barista's Bardo,ATOMIC,Mall Lac2,,,,,
Barista's Berges du Lac,TB,Place Pasteur,,,,,
Barista's Carthage Dermech,RU,Soukra,,,,,
Barista's CUN,WJ,La Goulette,,,,,
Barista's Jardin Carthage,,GP9,,,,,
Barista's Sousse,,Hammam Sousse,,,,,
Basma Ben Arous,,Cité Ezzouhour,,,,,
Baya Deco Marsa,,El Manar,,,,,
Bernardo Soukra,,Mnihla,,,,,
Bolzano Soukra,,CUN(Centre Urbain Nord),,,,,
Boumiza Square Sousse,,Sidi Bou Said,,,,,
Boutique ETIKETTE Hammamet,,Berges du Lac,,,,,
Business Hotel Tunis,,Sfax,,,,,
Buy Luxe Menzah 5,,Tunis,,,,,
Café Bey Hammem Lif,,Ghazela,,,,,
CalaTA_page_124_04,,Kram,,,,,
Camomile Gremda,,Lac3,,,,,
Camomile Soukra,,Manar City,,,,,
Carlton Hotel Tunis,,Raidh Landalous,,,,,
Centrale Tunisie Lac1,,Lac1,,,,,
Centre Livraison VW Kram,,Montplaisir,,,,,
Century 21 Ain Zaghouen Nord,,Marsa,,,,,
Century 21 CUN,,Carthage,,,,,
Century 21 Lac2,,Hammem Lif,,,,,
Century 21 Soukra,,Lafayette,,,,,
Century AZN ,,Menzah9,,,,,
Ceram Home GP9,,Ain Zaghouen Nord,,,,,
Ceram Garden GP9,,Megrine,,,,,
Ceram Mnihla,,Ain Zaghouen,,,,,
Ceram Square GP9,,Gammarth,,,,,
Ceru Place Pasteur,,Ariana,,,,,
Chattel Soukra,,Geant,,,,,
City Desk Soukra,,Nabeul,,,,,
City Loft Soukra,,Hammamet,,,,,
Clevory Charguia,,Jardin d'El Manzah,,,,,
