fiche_id,source_file,page_key,document_type,match_tier,match_score,client_score,address_score,client_raw,address_raw,client_gold,address_gold,full_name_gold,maintenance_number,date_raw,time_raw,service_date,service_time,technician_name,sav_numbers,service_types_active,controle_diffuseur_recharge,recharge_bouteille_effectuee,probleme_rencontree_raw,probleme_rencontree_code,solution_proposee,satisfied_service,parfum_bien_diffuse,signature_present
Aromair_01_01:page_10:014887,aromair_01_01__page_10__014887.json,page_10,client_maintenance_form,good,0.85,0.75,1.0,plae aut,Soukra,Plac'Art,Soukra,Plac'Art Soukra,014887,08/11/25,16H30,2025-11-08,16:30:00,,"[""99 289 544"", ""99 289 543""]","[""visite""]","[{""model_diffuseur_raw"": ""Astree"", ""model_diffuseur"": ""Astree"", ""emplacement"": ""ENTREE"", ""reference_diffuseur_raw"": ""cpm"", ""reference_diffuseur"": ""CPM"", ""nom_parfum"": null, ""reference_bouteille_raw"": ""S"", ""reference_bouteille"": ""Simple (S)"", ""qte_parfum_existante_raw"": null, ""qte_parfum_existante"": null, ""qualite_diffusion"": null, ""fuite"": null, ""en_marche_arret"": null, ""frequence_diffusion_existante"": ""5/10"", ""plage_horaire_diffusion"": ""Manuel"", ""motif_arret"": null}]",[],LIV diff Astree apres renovation,LIV,,,,False
Aromair_01_01:page_11:014884,aromair_01_01__page_11__014884.json,page_11,client_maintenance_form,exact,1.0,1.0,1.0,Asteel Flash,Soukra,Asteel Flash,Soukra,Asteel Flash Soukra,014884,06/11/25,16H,2025-11-06,16:00:00,,"[""99 289 544"", ""99 289 543""]","[""visite""]","[{""model_diffuseur_raw"": ""ZUDANIA"", ""model_diffuseur"": null, ""emplacement"": ""RCC"", ""reference_diffuseur_raw"": ""BT"", ""reference_diffuseur"": ""BT"", ""nom_parfum"": null, ""reference_bouteille_raw"": ""V"", ""reference_bouteille"": ""Vrag (V)"", ""qte_parfum_existante_raw"": null, ""qte_parfum_existante"": null, ""qualite_diffusion"": ""B"", ""fuite"": ""N"", ""en_marche_arret"": ""M"", ""frequence_diffusion_existante"": ""5/10"", ""plage_horaire_diffusion"": ""7H30/16H45/11H45"", ""motif_arret"": null}, {""model_diffuseur_raw"": ""BB"", ""model_diffuseur"": null, ""emplacement"": null, ""reference_diffuseur_raw"": null, ""reference_diffuseur"": null, ""nom_parfum"": null, ""reference_bouteille_raw"": null, ""reference_bouteille"": null, ""qte_parfum_existante_raw"": null, ""qte_parfum_existante"": null, ""qualite_diffusion"": null, ""fuite"": null, ""en_marche_arret"": null, ""frequence_diffusion_existante"": null, ""plage_horaire_diffusion"": null, ""motif_arret"": null}]",[],RAS / ARRET DE FONCTIONNEMENT,,,,,True
Aromair_01_01:page_12:014954,aromair_01_01__page_12__014954.json,page_12,client_maintenance_form,good,0.954,0.923,1.0,AP Collection,Soukra,AF Collection,Soukra,AF Collection  Soukra,014954,05/02/25,17H20,2025-02-05,17:20:00,,"[""99 289 544"", ""99 289 543""]","[""livraison"", ""visite""]","[{""model_diffuseur_raw"": ""ASTREE"", ""model_diffuseur"": ""Astree"", ""emplacement"": ""\""-1\"""", ""reference_diffuseur_raw"": ""BT"", ""reference_diffuseur"": ""BT"", ""nom_parfum"": ""RG"", ""reference_bouteille_raw"": ""S"", ""reference_bouteille"": ""Simple (S)"", ""qte_parfum_existante_raw"": null, ""qte_parfum_existante"": null, ""qualite_diffusion"": null, ""fuite"": null, ""en_marche_arret"": ""M"", ""frequence_diffusion_existante"": ""5-6"", ""plage_horaire_diffusion"": ""10H-17H"", ""motif_arret"": null}]","[{""ml"": 300, ""parfum"": ""RG"", ""reference_bouteille_raw"": ""S"", ""reference_bouteille"": ""Simple (S)"", ""frequence_diffusion"": ""5-6"", ""plage_horaire_fonctionnement"": ""10H-17H"", ""emplacement"": ""\""-1\""""}]",Livraison 300ml RG,LIV,,,,True
Aromair_01_01:page_13:014970,aromair_01_01__page_13__014970.json,page_13,client_maintenance_form,good,0.925,0.875,1.0,DR FAVES,Lac2,Dr Fares,Lac2,Dr Fares  Lac2,014970,07/02/25,16H,2025-02-07,16:00:00,,"[""99 289 544"", ""99 289 543""]","[""livraison"", ""visite""]","[{""model_diffuseur_raw"": ""ASTREE ACCAL"", ""model_diffuseur"": ""Astree"", ""emplacement"": ""ACCAL"", ""reference_diffuseur_raw"": ""BT"", ""reference_diffuseur"": ""BT"", ""nom_parfum"": null, ""reference_bouteille_raw"": ""S"", ""reference_bouteille"": ""Simple (S)"", ""qte_parfum_existante_raw"": ""28"", ""qte_parfum_existante"": 28, ""qualite_diffusion"": ""N"", ""fuite"": ""N"", ""en_marche_arret"": ""M"", ""frequence_diffusion_existante"": ""07-07"", ""plage_horaire_diffusion"": ""10H-17H"", ""motif_arret"": null}]","[{""ml"": 300, ""parfum"": null, ""reference_bouteille_raw"": ""BT"", ""reference_bouteille"": null, ""frequence_diffusion"": ""07-07"", ""plage_horaire_fonctionnement"": ""10H-17H"", ""emplacement"": ""ACCAL""}]",Livraison 300ml et changer le diffuseur,LIV,,,,False
Aromair_01_01:page_14:014943,aromair_01_01__page_14__014943.json,page_14,client_maintenance_form,exact,1.0,1.0,1.0,Asteel Flash,Soukra,Asteel Flash,Soukra,Asteel Flash Soukra,014943,01/02/25,10H15,2025-02-01,10:15:00,,"[""99 289 544"", ""99 289 543""]","[""livraison"", ""visite""]","[{""model_diffuseur_raw"": ""AR100"", ""model_diffuseur"": ""Aromair100"", ""emplacement"": ""B1+1"", ""reference_diffuseur_raw"": ""BT"", ""reference_diffuseur"": ""BT"", ""nom_parfum"": ""FE3"", ""reference_bouteille_raw"": ""S"", ""reference_bouteille"": ""Simple (S)"", ""qte_parfum_existante_raw"": ""O"", ""qte_parfum_existante"": 0, ""qualite_diffusion"": ""B"", ""fuite"": ""N"", ""en_marche_arret"": ""M"", ""frequence_diffusion_existante"": ""5/10"", ""plage_horaire_diffusion"": ""7H/14H"", ""motif_arret"": ""7H/17H""}, {""model_diffuseur_raw"": ""B3 RDC"", ""model_diffuseur"": null, ""emplacement"": ""RDC"", ""reference_diffuseur_raw"": null, ""reference_diffuseur"": null, ""nom_parfum"": null, ""reference_bouteille_raw"": ""S"", ""reference_bouteille"": ""Simple (S)"", ""qte_parfum_existante_raw"": ""O"", ""qte_parfum_existante"": 0, ""qualite_diffusion"": null, ""fuite"": null, ""en_marche_arret"": null, ""frequence_diffusion_existante"": ""5/6"", ""plage_horaire_diffusion"": ""7H30 / 17H30"", ""motif_arret"": null}, {""model_diffuseur_raw"": ""B3+1"", ""model_diffuseur"": null, ""emplacement"": ""B3+1"", ""reference_diffuseur_raw"": null, ""reference_diffuseur"": null, ""nom_parfum"": null, ""reference_bouteille_raw"": ""S"", ""reference_bouteille"": ""Simple (S)"", ""qte_parfum_existante_raw"": ""O"", ""qte_parfum_existante"": 0, ""qualite_diffusion"": null, ""fuite"": null, ""en_marche_arret"": null, ""frequence_diffusion_existante"": ""5/6"", ""plage_horaire_diffusion"": ""7H30 / 17H30"", ""motif_arret"": null}, {""model_diffuseur_raw"": ""B2 USIN"", ""model_diffuseur"": null, ""emplacement"": ""B2 USIN"", ""reference_diffuseur_raw"": null, ""reference_diffuseur"": null, ""nom_parfum"": null, ""reference_bouteille_raw"": ""S"", ""reference_bouteille"": ""Simple (S)"", ""qte_parfum_existante_raw"": ""O"", ""qte_parfum_existante"": 0, ""qualite_diffusion"": null, ""fuite"": null, ""en_marche_arret"": null, ""frequence_diffusion_existante"": ""5/6"", ""plage_horaire_diffusion"": ""7H30 / 17H30"", ""motif_arret"": null}, {""model_diffuseur_raw"": ""B1+1"", ""model_diffuseur"": null, ""emplacement"": ""B1+1"", ""reference_diffuseur_raw"": null, ""reference_diffuseur"": null, ""nom_parfum"": null, ""reference_bouteille_raw"": ""S"", ""reference_bouteille"": ""Simple (S)"", ""qte_parfum_existante_raw"": ""O"", ""qte_parfum_existante"": 0, ""qualite_diffusion"": null, ""fuite"": null, ""en_marche_arret"": null, ""frequence_diffusion_existante"": ""5/6"", ""plage_horaire_diffusion"": ""7H30 / 17H30"", ""motif_arret"": null}, {""model_diffuseur_raw"": ""B2WC"", ""model_diffuseur"": null, ""emplacement"": ""B2WC"", ""reference_diffuseur_raw"": null, ""reference_diffuseur"": null, ""nom_parfum"": null, ""reference_bouteille_raw"": ""S"", ""reference_bouteille"": ""Simple (S)"", ""qte_parfum_existante_raw"": ""O"", ""qte_parfum_existante"": 0, ""qualite_diffusion"": null, ""fuite"": null, ""en_marche_arret"": null, ""frequence_diffusion_existante"": ""5/6"", ""plage_horaire_diffusion"": ""7H30 / 17H30"", ""motif_arret"": null}]","[{""ml"": 300, ""parfum"": ""FE3"", ""reference_bouteille_raw"": ""S"", ""reference_bouteille"": ""Simple (S)"", ""frequence_diffusion"": ""5/10"", ""plage_horaire_fonctionnement"": ""7H/14H"", ""emplacement"": ""B1+1""}, {""ml"": 300, ""parfum"": null, ""reference_bouteille_raw"": ""S"", ""reference_bouteille"": ""Simple (S)"", ""frequence_diffusion"": ""5/6"", ""plage_horaire_fonctionnement"": ""7H30/17H30"", ""emplacement"": ""RDC""}, {""ml"": 300, ""parfum"": null, ""reference_bouteille_raw"": ""S"", ""reference_bouteille"": ""Simple (S)"", ""frequence_diffusion"": ""5/6"", ""plage_horaire_fonctionnement"": ""7H30/17H30"", ""emplacement"": ""B3+1""}, {""ml"": 300, ""parfum"": null, ""reference_bouteille_raw"": ""S"", ""reference_bouteille"": ""Simple (S)"", ""frequence_diffusion"": ""5/6"", ""plage_horaire_fonctionnement"": ""7H30/17H30"", ""emplacement"": ""B2 USIN""}, {""ml"": 300, ""parfum"": null, ""reference_bouteille_raw"": ""S"", ""reference_bouteille"": ""Simple (S)"", ""frequence_diffusion"": ""5/6"", ""plage_horaire_fonctionnement"": ""7H30/17H30"", ""emplacement"": ""B1+1""}, {""ml"": 300, ""parfum"": null, ""reference_bouteille_raw"": ""S"", ""reference_bouteille"": ""Simple (S)"", ""frequence_diffusion"": ""5/6"", ""plage_horaire_fonctionnement"": ""7H30/17H30"", ""emplacement"": ""B2WC""}]",LIV 300ML X7 FDE3,LIV,,,,True
Aromair_01_01:page_15:014899,aromair_01_01__page_15__014899.json,page_15,client_maintenance_form,good,0.94,0.9,1.0,Pharmacie Victoria Lac1,Lac1,Pharmacie Victoria,Lac1,Pharmacie Victoria Lac1,014899,09/11/25,15H15,2025-11-09,15:15:00,,"[""99 289 544"", ""99 289 543""]","[""visite""]","[{""model_diffuseur_raw"": ""R100"", ""model_diffuseur"": ""Aromair100"", ""emplacement"": ""vitrine"", ""reference_diffuseur_raw"": ""Bleu"", ""reference_diffuseur"": null, ""nom_parfum"": null, ""reference_bouteille_raw"": ""S"", ""reference_bouteille"": ""Simple (S)"", ""qte_parfum_existante_raw"": ""220"", ""qte_parfum_existante"": 220, ""qualite_diffusion"": ""B"", ""fuite"": ""N"", ""en_marche_arret"": ""M"", ""frequence_diffusion_existante"": ""5/10"", ""plage_horaire_diffusion"": ""8H30/12H45"", ""motif_arret"": null}, {""model_diffuseur_raw"": null, ""model_diffuseur"": null, ""emplacement"": null, ""reference_diffuseur_raw"": null, ""reference_diffuseur"": null, ""nom_parfum"": null, ""reference_bouteille_raw"": null, ""reference_bouteille"": null, ""qte_parfum_existante_raw"": null, ""qte_parfum_existante"": null, ""qualite_diffusion"": null, ""fuite"": null, ""en_marche_arret"": null, ""frequence_diffusion_existante"": ""5/10"", ""plage_horaire_diffusion"": ""15H/19H15"", ""motif_arret"": null}]","[{""ml"": 300, ""parfum"": null, ""reference_bouteille_raw"": null, ""reference_bouteille"": null, ""frequence_diffusion"": null, ""plage_horaire_fonctionnement"": null, ""emplacement"": null}]","LIV 300ml cologne
VISITE",LIV,,,,True
Aromair_01_01:page_15:014961,aromair_01_01__page_15__014961.json,page_15,client_maintenance_form,good,0.9,0.9,0.9,716 CUN,CUN(Centre Urbain Nord),716,CUN,716 CUN,014961,30/01/25,07H00,2025-01-30,07:00:00,,"[""99 289 544"", ""99 289 543""]","[""livraison"", ""visite""]",[],"[{""ml"": 300, ""parfum"": null, ""reference_bouteille_raw"": ""V"", ""reference_bouteille"": ""Vrag (V)"", ""frequence_diffusion"": ""2-4"", ""plage_horaire_fonctionnement"": ""09-10H"", ""emplacement"": ""étage""}]",Livraison Diffuseur et 300ml,LIV,,,,False
Aromair_01_01:page_16:014962,aromair_01_01__page_16__014962.json,page_16,client_maintenance_form,good,0.96,0.933,1.0,EDWARDS,Soukra,Edward's,Soukra,Edward's  Soukra,014962,07/02/25,11H15,2025-02-07,11:15:00,,"[""99 289 544"", ""99 289 543""]","[""livraison"", ""visite""]","[{""model_diffuseur_raw"": ""AR100"", ""model_diffuseur"": ""Aromair100"", ""emplacement"": ""RDC"", ""reference_diffuseur_raw"": ""WIFI"", ""reference_diffuseur"": ""WIFI"", ""nom_parfum"": null, ""reference_bouteille_raw"": ""S"", ""reference_bouteille"": ""Simple (S)"", ""qte_parfum_existante_raw"": ""O"", ""qte_parfum_existante"": 0, ""qualite_diffusion"": ""B"", ""fuite"": ""N"", ""en_marche_arret"": ""M"", ""frequence_diffusion_existante"": ""5-10"", ""plage_horaire_diffusion"": ""10H/17H"", ""motif_arret"": null}, {""model_diffuseur_raw"": ""AR100"", ""model_diffuseur"": ""Aromair100"", ""emplacement"": ""1er"", ""reference_diffuseur_raw"": ""WIFI"", ""reference_diffuseur"": ""WIFI"", ""nom_parfum"": null, ""reference_bouteille_raw"": ""S"", ""reference_bouteille"": ""Simple (S)"", ""qte_parfum_existante_raw"": ""O"", ""qte_parfum_existante"": 0, ""qualite_diffusion"": ""B"", ""fuite"": ""N"", ""en_marche_arret"": ""M"", ""frequence_diffusion_existante"": ""10"", ""plage_horaire_diffusion"": ""9H/17H"", ""motif_arret"": null}]","[{""ml"": 300, ""parfum"": null, ""reference_bouteille_raw"": ""S"", ""reference_bouteille"": ""Simple (S)"", ""frequence_diffusion"": ""5-10"", ""plage_horaire_fonctionnement"": ""10H/17H"", ""emplacement"": ""RDC""}, {""ml"": 300, ""parfum"": null, ""reference_bouteille_raw"": ""S"", ""reference_bouteille"": ""Simple (S)"", ""frequence_diffusion"": ""5-10"", ""plage_horaire_fonctionnement"": ""9H/17H"", ""emplacement"": ""1er""}]",Livraison 300ml pour deux diffuseurs,LIV,AROMAIR 100,,,False
Aromair_01_01:page_17:014968,aromair_01_01__page_17__014968.json,page_17,client_maintenance_form,review,0.836,0.727,1.0,OPAIL,Lac2,Corail,Lac2,Corail Lac2,014968,07/02/25,11H15,2025-02-07,11:15:00,,"[""99 289 544"", ""99 289 543""]","[""livraison"", ""visite""]","[{""model_diffuseur_raw"": ""AR300"", ""model_diffuseur"": ""Aromair100"", ""emplacement"": ""ENTREE"", ""reference_diffuseur_raw"": ""BT"", ""reference_diffuseur"": ""BT"", ""nom_parfum"": null, ""reference_bouteille_raw"": ""V"", ""reference_bouteille"": ""Vrag (V)"", ""qte_parfum_existante_raw"": ""O"", ""qte_parfum_existante"": 0, ""qualite_diffusion"": ""B"", ""fuite"": ""N"", ""en_marche_arret"": ""M"", ""frequence_diffusion_existante"": ""120/240"", ""plage_horaire_diffusion"": ""7-10 / 17-20 / 12-15"", ""motif_arret"": null}]","[{""ml"": 300, ""parfum"": ""TH"", ""reference_bouteille_raw"": ""V"", ""reference_bouteille"": ""Vrag (V)"", ""frequence_diffusion"": ""Manuel"", ""plage_horaire_fonctionnement"": ""Manuel"", ""emplacement"": null}]",LIV 300ML CORAIL SUITES HOTEL,LIV,,,,True
Aromair_01_01:page_18:014952,aromair_01_01__page_18__014952.json,page_18,client_maintenance_form,good,0.94,0.9,1.0,Pharmacie Victoria Lac1,Lac1,Pharmacie Victoria,Lac1,Pharmacie Victoria Lac1,014952,05/02/25,12H,2025-02-05,12:00:00,,"[""99 289 544"", ""99 289 543""]","[""livraison"", ""visite""]","[{""model_diffuseur_raw"": ""REPARATION ET LIVRAISON DIFFUSEUR"", ""model_diffuseur"": null, ""emplacement"": null, ""reference_diffuseur_raw"": null, ""reference_diffuseur"": null, ""nom_parfum"": null, ""reference_bouteille_raw"": null, ""reference_bouteille"": null, ""qte_parfum_existante_raw"": null, ""qte_parfum_existante"": null, ""qualite_diffusion"": null, ""fuite"": null, ""en_marche_arret"": null, ""frequence_diffusion_existante"": null, ""plage_horaire_diffusion"": null, ""motif_arret"": null}]",[],Réparation et livraison diffuseur,LIV,,,,True
