fiche_no,client_matched,adresse_matched,date_heure,technicien,source,model_matched,emplacement,parfum_extracted,qte_restante,qte_livree
017116,Tuniscount ,Soukra,06/05/26,Houssem,Controle,Astree,RDC,FE2,123,0
017116,Tuniscount ,Soukra,06/05/26,Houssem,Controle,Astree,+1,FE2,264,0
017117,Plac'Art,Soukra,07/05/26,Houssem,Controle,Astree,Entrée,FE2,37,0
017117,Plac'Art,Soukra,07/05/26,Houssem,Recharge,Astree,Entrée,Rose d'or,0,300
017118,Timsoft Group,Lac1,07/05/26,Houssem,Recharge,Aromair150,Reception,F.The,0,300
017118,Timsoft Group,Lac1,07/05/26,Houssem,Recharge,Aromair150,+3,F.The,0,300
017118,Timsoft Group,Lac1,07/05/26,Houssem,Recharge,Aromair150,+3 au fond,F.The,0,300
017119,JL Invest ,Lac2,07/05/26,Houssem,Controle,Astree,Entrée,RG,0,0
017119,JL Invest ,Lac2,07/05/26,Houssem,Controle,Astree,S. Reunion,RG,25,0
017119,JL Invest ,Lac2,07/05/26,Houssem,Controle,Astree,B. Directeur,RG,44,0
017121,Spectra ,Lac3,07/05/26,Houssem,Controle,Astree,Entrée,F.The,130,0
017121,Spectra ,Lac3,07/05/26,Houssem,Controle,Astree,+2,F.The,60,0
017121,Spectra ,Lac3,07/05/26,Houssem,Controle,Iceburg,-1,RG,0,0
017121,Spectra ,Lac3,07/05/26,Houssem,Recharge,Zee300,B. Directeur,F.The,0,null
017122,716,CUN,07/05/26,Houssem,Controle,Astree,au fond,Jasmin,158,0
017122,716,CUN,07/05/26,Houssem,Controle,Aromair150,WC,null,0,0
017122,716,CUN,07/05/26,Houssem,Controle,Zee300,Entrée D,Jasmin,0,0
017122,716,CUN,07/05/26,Houssem,Controle,Zee600,Entrée G,Jasmin,205,0
017123,Maison Mariem,Chatt Mariem Sousse,08/05/26,Houssem,Controle,Astree,Entrée,FE3,0,0
017123,Maison Mariem,Chatt Mariem Sousse,08/05/26,Houssem,Recharge,Astree,Entrée,Bloom the,0,300
017124,Clinique Dial,Sousse,08/05/26,Houssem,Controle,Astree,Entrée,NR,65,0
017124,Clinique Dial,Sousse,08/05/26,Houssem,Recharge,Astree,Entrée,Bloom the,0,300
017125,Hotel Kuriat ,Monastir,08/05/26,Houssem,Controle,Note: Livraison 4 Recharge 300ml illusion,null,null,0,0
017126,Paris-Tunis,Lac2,09/05/26,Houssem,Controle,Note: Livraison Diffuseur Astree Noir CPN,null,null,0,0
017126,Paris-Tunis,Lac2,09/05/26,Houssem,Recharge,Astree,Entrée,RG,0,200
017127,Geliamo,Marsa,09/05/26,Houssem,Controle,Aromair150,Entrée,Design,0,0
017127,Geliamo,Marsa,09/05/26,Houssem,Recharge,Aromair150,Entrée,Design,0,300
017128,716,Menzah6,09/05/26,Houssem,Controle,Aromair100,WCH,E. Jasmin,0,0
017128,716,Menzah6,09/05/26,Houssem,Controle,Aromair100,WCF,E. Jasmin,0,0
017128,716,Menzah6,09/05/26,Houssem,Recharge,Aromair100,WCH,E. Jasmin,0,300
017128,716,Menzah6,09/05/26,Houssem,Recharge,Aromair100,WCF,E. Jasmin,0,300
017129,Equipement Concept ,Soukra,09/05/26,Houssem,Recharge,Astree,RDC,RG,0,300
