fiche_no,client_matched,adresse_matched,date_heure,technicien,source,model_matched,emplacement,parfum_extracted,qte_restante,qte_livree
17504,Club NA,Gammarth,01/06/2026,Houssem,Controle,Zee300,Comptoir,Fig,0,0
17504,Club NA,Gammarth,01/06/2026,Houssem,Controle,Aromair150,WCH,Peace,70,0
17504,Club NA,Gammarth,01/06/2026,Houssem,Controle,Aromair150,WCF,Peace,70,0
17504,Club NA,Gammarth,01/06/2026,Houssem,Recharge,Zee300,Comptoir,Fig,0,300
17504,Club NA,Gammarth,01/06/2026,Houssem,Recharge,Aromair150,WCH,Peace,0,300
17504,Club NA,Gammarth,01/06/2026,Houssem,Recharge,Aromair150,WCF,Peace,0,300
17511,Restaurent Gourmet,Charguia,02/06/2026,Houssem,Controle,Aromair150,Entrée,F.N,0,0
17511,Restaurent Gourmet,Charguia,02/06/2026,Houssem,Recharge,Aromair150,Entrée,F.N,0,300
17508,Obioskin,Menzah9,01/06/2026,Houssem,Controle,Astree,Entrée,FE3,20,0
17508,Obioskin,Menzah9,01/06/2026,Houssem,Recharge,Astree,Entrée,FE3,0,300
17514,Labo Mejri,Ezzahra,02/06/2026,Houssem,Controle,Aromair150,Entrée,Rose d'or,0,0
17514,Labo Mejri,Ezzahra,02/06/2026,Houssem,Recharge,Aromair150,Entrée,Rose d'or,0,300
17518,AF Collection ,Soukra,02/06/2026,Houssem,Controle,Astree,RDC,RG,20,0
17518,AF Collection ,Soukra,02/06/2026,Houssem,Controle,Astree,+1,RG,0,0
17518,AF Collection ,Soukra,02/06/2026,Houssem,Recharge,Astree,RDC,RG,0,300
17510,Arena Gym ,Soukra,01/06/2026,Houssem,Controle,Aromair100,Entrée,Ondee P.,223,0
17503,Le Golfe,Gammarth,01/06/2026,Houssem,Controle,Aromair100,WCH,Fig,0,0
17503,Le Golfe,Gammarth,01/06/2026,Houssem,Controle,Aromair100,WCF,Fig,0,0
17503,Le Golfe,Gammarth,01/06/2026,Houssem,Recharge,Aromair100,WCH,Fig,0,150
17503,Le Golfe,Gammarth,01/06/2026,Houssem,Recharge,Aromair100,WCF,Fig,0,150
17509,Tony Nasr,GP9,01/06/2026,Houssem,Controle,Aromair100,Entrée,FC,0,0
