fiche_no,client_matched,adresse_matched,date_inter,technicien,source,model_matched,emplacement,parfum_extracted,qte_restante,qte_livree
015902,Hotel Dar Marsa ,Marsa,12/01/26,Houssem,Controle,Zee300,R.C,F.W,0,0
015902,Hotel Dar Marsa ,Marsa,12/01/26,Houssem,Recharge,Zee300,R.C,F.W,0,300
015903,A Table ,Marsa,12/01/26,Houssem,Controle,Zee300,entrée,F.N,220,0
015903,A Table ,Marsa,12/01/26,Houssem,Recharge,Note: Changement plage horaire,null,null,0,0
015904,Dr Skander Ben Gueder,Sousse,12/01/26,Houssem,Controle,Iceburg,entree,CI,0,0
015904,Dr Skander Ben Gueder,Sousse,12/01/26,Houssem,Recharge,Note: Recuperation Diff Iceburg,null,null,0,0
015905,Maison Mme Dridi ,Soukra,12/01/26,Houssem,Controle,Astree,salle,R.G,0,0
015905,Maison Mme Dridi ,Soukra,12/01/26,Houssem,Recharge,Astree,salle,R.G,0,300
015906,Poly Lighting,GP9,12/01/26,Houssem,Controle,Astree,entré,J.B,0,0
015906,Poly Lighting,GP9,12/01/26,Houssem,Recharge,Astree,entré,J.B,0,300
015907,Boumiza Square ,Sousse,13/01/26,Houssem,Controle,Zee600,RDC,T.P,0,0
015907,Boumiza Square ,Sousse,13/01/26,Houssem,Controle,Zee600,Restaurant,T.P,0,0
015907,Boumiza Square ,Sousse,13/01/26,Houssem,Controle,Zee300,salle de jeux,T.P,0,0
015907,Boumiza Square ,Sousse,13/01/26,Houssem,Controle,Aromair100,WC,Fe3,0,0
015907,Boumiza Square ,Sousse,13/01/26,Houssem,Recharge,Zee600,RDC,T.P,0,300
015907,Boumiza Square ,Sousse,13/01/26,Houssem,Recharge,Zee600,Restaurant,T.P,0,300
015907,Boumiza Square ,Sousse,13/01/26,Houssem,Recharge,Zee300,salle de jeux,T.P,0,300
015907,Boumiza Square ,Sousse,13/01/26,Houssem,Recharge,Aromair100,WC,Fe3,0,300
015908,Clinique Ibn Kholdoun,Sousse,13/01/26,Houssem,Controle,Zee300,R.C,null,0,0
015908,Clinique Ibn Kholdoun,Sousse,13/01/26,Houssem,Controle,Zee300,RDC,null,0,0
015908,Clinique Ibn Kholdoun,Sousse,13/01/26,Houssem,Controle,Zee300,-1,null,170,0
015908,Clinique Ibn Kholdoun,Sousse,13/01/26,Houssem,Controle,Aromair150,WCH,null,254,0
015908,Clinique Ibn Kholdoun,Sousse,13/01/26,Houssem,Controle,Aromair150,WCF,null,220,0
015908,Clinique Ibn Kholdoun,Sousse,13/01/26,Houssem,Recharge,Zee300,R.C,JB,0,150
015908,Clinique Ibn Kholdoun,Sousse,13/01/26,Houssem,Recharge,Zee300,RDC,JB,0,150
015908,Clinique Ibn Kholdoun,Sousse,13/01/26,Houssem,Recharge,Aromair150,+1,JB,0,150
015909,Clinique Ibn Kholdoun,Sousse,13/01/26,Houssem,Controle,Astree,B.D,RG,258,0
015909,Clinique Ibn Kholdoun,Sousse,13/01/26,Houssem,Controle,Zee300,B.D,null,200,0
015909,Clinique Ibn Kholdoun,Sousse,13/01/26,Houssem,Recharge,Note: Changement prog diff,null,null,0,0
015910,Hotel Kantaoui,Sousse,13/01/26,Houssem,Controle,Note: Livraison 7 Bouteilles 1L R.G.,null,null,0,0
015911,Hotel Diar El Andalous ,Sousse,13/01/26,Houssem,Controle,Note: Livraison un bidon CTA Bas,null,null,0,0
015912,Table Espace ,Sousse,13/01/26,Houssem,Controle,Astree,entré,F.Mae,162,0
015914,Hotel Dar Marsa ,Marsa,14/01/26,Houssem,Controle,Note: Changement plage horaire 8-20,null,null,0,0
015914,Hotel Dar Marsa ,Marsa,14/01/26,Houssem,Recharge,Zee300,R.C,ML,0,600
015915,Affaire A Suivre,Marsa,14/01/26,Houssem,Controle,Astree,entré,F.The,190,0
015916,Fnac,Marsa,14/01/26,Houssem,Controle,Zee300,entrée,Agrume,150,0
015916,Fnac,Marsa,14/01/26,Houssem,Recharge,Zee300,entrée,Agrume,0,450
015917,A Table ,Marsa,14/01/26,Houssem,Controle,Zee300,entré,Agrume,340,0
015917,A Table ,Marsa,14/01/26,Houssem,Recharge,Zee300,Entrée,Agrume,0,260
015918,Centrale Tunisie ,Lac1,14/01/26,Houssem,Controle,Note: Changement freq diff,null,null,0,0
015919,Clinique Alyssa ,Lac1,14/01/26,Houssem,Controle,Note: Le diff est fonctionnel,null,null,0,0
015920,Sunset Padel,Borj Louzir,14/01/26,Houssem,Controle,Zee600,entré,FM,0,0
015920,Sunset Padel,Borj Louzir,14/01/26,Houssem,Controle,Aromair100,WCF,PC,0,0
015920,Sunset Padel,Borj Louzir,14/01/26,Houssem,Controle,Aromair100,WCH,PC,0,0
015920,Sunset Padel,Borj Louzir,14/01/26,Houssem,Recharge,Zee300,Entré,FM,0,600
015920,Sunset Padel,Borj Louzir,14/01/26,Houssem,Recharge,Aromair100,WCF,PC,0,300
015920,Sunset Padel,Borj Louzir,14/01/26,Houssem,Recharge,Aromair100,WCH,PC,0,300
015921,Ooredoo ,Charguia,14/01/26,Houssem,Controle,Zee300,entré,FM,130,0
015921,Ooredoo ,Charguia,14/01/26,Houssem,Controle,Central,+2D,TB,55,0
015921,Ooredoo ,Charguia,14/01/26,Houssem,Controle,Aromair100,+2G,Fe3,270,0
015921,Ooredoo ,Charguia,14/01/26,Houssem,Recharge,Zee300,entré,FM,0,170
015921,Ooredoo ,Charguia,14/01/26,Houssem,Recharge,Control,+2,TB,0,250
015923,Pharmacie de Nuit Maher Guiga ,Bardo,14/01/26,Houssem,Controle,Aromair100,Entrée,Fe2,0,0
015924,Pharmacie de Nuit Maher Guiga ,Bardo,14/01/26,Houssem,Controle,Aromair100,Entrée,Fez,0,0
015924,Pharmacie de Nuit Maher Guiga ,Bardo,14/01/26,Houssem,Recharge,Note: Commande confirmée bouteille 300ml Fez,null,null,0,0
015925,Arena Gym ,El Manar,14/01/26,Houssem,Controle,Aromair100,RDC,Fe3,257,0
015926,Hamdi Workshop  ,Ennasr,14/01/26,Houssem,Controle,Aromair100,entré,JB,0,0
015926,Hamdi Workshop  ,Ennasr,14/01/26,Houssem,Controle,Aromair100,au fond,JB,285,0
015926,Hamdi Workshop  ,Ennasr,14/01/26,Houssem,Controle,Aromair100,salb.M,WJ,160,0
015926,Hamdi Workshop  ,Ennasr,14/01/26,Houssem,Recharge,Aromair100,entr,JB,0,300
015927,JC ,Ariana,15/01/26,Houssem,Controle,Aromair100,RDC,Cologne,102,0
015928,Retaurant Safran,Lac1,15/01/26,Houssem,Controle,Zee600,Entré,PO,273,0
015928,Retaurant Safran,Lac1,15/01/26,Houssem,Controle,Note: Changement plage horaire 9-22,null,null,0,0
015929,Spectra ,Lac3,15/01/26,Houssem,Controle,Astree,Entrée,RG,270,0
015929,Spectra ,Lac3,15/01/26,Houssem,Controle,Astree,+2,F.The,187,0
015929,Spectra ,Lac3,15/01/26,Houssem,Controle,Iceburg,-1,F.the,0,0
015929,Spectra ,Lac3,15/01/26,Houssem,Controle,Zee300,B.D,null,0,0
015929,Spectra ,Lac3,15/01/26,Houssem,Recharge,Note: Commande confirme 2 bouteilles F.the,null,null,0,0
015930,Clinique Kaynos,Lac2,15/01/26,Houssem,Controle,Astree,+1,Fe3,0,0
015930,Clinique Kaynos,Lac2,15/01/26,Houssem,Controle,Astree,R.C,Fe3,0,0
015930,Clinique Kaynos,Lac2,15/01/26,Houssem,Recharge,Note: commande confirme 2 bouteilles Fe3,null,null,0,0
015931,Finopti TN ,Charguia,15/01/26,Houssem,Controle,Note: livraison échantillons anti odeur,null,null,0,0
015932,Da Pietro ,Jardin d'El Menzah,15/01/26,Houssem,Controle,Aromair100,entré,RU,160,0
015932,Da Pietro ,Jardin d'El Menzah,15/01/26,Houssem,Controle,Aromair100,Restaurant,BU,0,0
015932,Da Pietro ,Jardin d'El Menzah,15/01/26,Houssem,Recharge,Aromair100,Restaurant,RU,0,300
015933,Café Yuka ,Jardin d'EL Menzah,15/01/26,Houssem,Controle,Aromair100,entrée,Fe3,0,0
015933,Café Yuka ,Jardin d'EL Menzah,15/01/26,Houssem,Recharge,Aromair100,entrée,Fe3,0,300
015934,Vision Store ,Menzah4,15/01/26,Houssem,Controle,Astree,entré,RG,0,0
015934,Vision Store ,Menzah4,15/01/26,Houssem,Recharge,Astree,entré,RG,0,300
015937,Boutique Beppi ,Manar City,15/01/26,Houssem,Controle,Aromair100,entr,C.Vani,0,0
015938,Boutique Enzo Mila ,Manar City,15/01/26,Houssem,Controle,Aromair100,entré,Fe2,0,0
015938,Boutique Enzo Mila ,Manar City,15/01/26,Houssem,Recharge,Note: Commande confirmée 300ml Fe2,null,null,0,0
015939,Hotel Diar El Andalous ,Sousse,16/01/26,Houssem,Controle,Note: Changement Pompe CTA Bas,null,null,0,0
015943,Soquibat Group,Lac1,17/01/26,Houssem,Controle,Note: Changement prog Aout dimanche,null,null,0,0
015944,Clinique Kaynos,Lac2,17/01/26,Houssem,Recharge,Astree,entrée,FC,0,300
015944,Clinique Kaynos,Lac2,17/01/26,Houssem,Recharge,Astree,+1,FC,0,300
015945,Maison Karim,Jardins Carthage,17/01/26,Houssem,Controle,Note: Livraison Diff Iceburg,null,null,0,0
015945,Maison Karim,Jardins Carthage,17/01/26,Houssem,Recharge,Iceburg,salon,TH,0,300
015946,Tony Nasr ,GP9,17/01/26,Houssem,Controle,Aromair100,Entrée,FC,184,0
