N_Fiche,Client,Adresse,Date,Technicien,Modele_Diffuseur,Emplacement,Quantite_Livree,Nom_Parfum,Observations,Column1
17000,Moustache,Manzeh 5,24/01/2026,Houssem,Iceburg,Iaberg,,,Récuperation Diff (Iceburg) noir pour la reparation.,
17778,Hotel Diar El Andalous,Kantaoui,29/01/2026,Ghassen,,,,,Livraison 3 bouteilles 1L stock client,
17780,Boumiza Square,Sousse,29/01/2026,Ghassen,Zee300,-1,300ml,t.c,Changement de fréq = Diff +1 et Diff entre = 2-8,
17780,Boumiza Square,Sousse,29/01/2026,Ghassen,Zee600,+1,300ml,t.c,,
17780,Boumiza Square,Sousse,29/01/2026,Ghassen,Zee600,entrée,300ml,t.c,,
15947,Beppi,Manar City,17/01/2026,Ghassen,Aromair100,centre,300ml,Coco Vanille,,
16993,Meuble Karray,Soukra,23/01/2026,Ghassen,Astree,entree,,J.B,,
16993,Meuble Karray,Soukra,23/01/2026,Ghassen,Astree,+1,,J.B,,
16993,Meuble Karray,Soukra,23/01/2026,Ghassen,Astree,+2,,J.B,,
16981,SSTC,Lac 1,23/01/2026,Ghassen,Iceburg,entree,,M.B,changement du Prog Diff entree -> Freq: 2 - 10 / Plage d'horaire 9 -> 16,
16998,Guzel by Emna Fakher,Jardin Carthage,24/01/2026,Ghassen,Aromair500,,,,Récupération diff Spa Aromair500,
16982,Maison Porshe,La Goulette,23/01/2026,Ghassen,Zee300,entree,300ml,R.G,,
15916,Fnac,Marsa,14/01/2026,Ghassen,Zee300,entrée,450ml,Agrum,Changement freq Diff Zee300 = 1 - 3 d'après Mr ghoussoune,
15912,Table Espace,Sousse,13/01/2026,Ghassen & Houssem,Astree,entré,,F. Maé,,
15927,JC,GP9,15/01/2026,Houssem,Iceburg,RDC,,Cologne,,
16985,Focus,Marsa,23/01/2026,Houssem,Astree,CEN,,Myrrhe,Changement parfum a la production,
17755,Enzo,Menzah 5,26/01/2026,Ghassen,Tour,entree,90ml,Fe2,Changement fréquence = 30 - 300,
17764,Red Castle,Menzah 5,27/01/2026,Ghassen,Iceburg,entrée,300ml,R.G,,
15935,Pharmacie de Nuit Maher Guiga,Bardo,15/01/2026,Houssem,Aromair100,Entree,300ml,Fe3,Changement plage => 11-14 / 16-21,
17774,Moustache,Menzah 5,28/01/2026,Houssem,Iceburg,entrée,300ml,Melange,Livraison Diff (Iceburg) + 300ml Melange,
15918,Centrale Tunisie,Lac 1,14/01/2026,Houssem,,,,,Changement Frais Diff (Entree D) et (entree G) = 1/5 min,
16980,Cabinet Mme Dachraoui Anissa,Lac 1,23/01/2026,Ghassen,Astree,entree,,BG,,
15949,Restaurant Red Castle,P. Marina,17/01/2026,Ghassen,Iceburg,entree,,R.G,Changement Plage Horaire 11:30 -> 16:30 / 18:30 -> 23:30,
15907,Boumiza Square,Sousse,13/01/2026,Ghassen & Houssem,Zee600,RDC,300ml,T.P,,
15907,Boumiza Square,Sousse,13/01/2026,Ghassen & Houssem,Zee600,Restaurant,300ml,T.P,,
15907,Boumiza Square,Sousse,13/01/2026,Ghassen & Houssem,Zee300,salle de jeux,300ml,T.P,,
15907,Boumiza Square,Sousse,13/01/2026,Ghassen & Houssem,Aromair100,WC,300ml,Fe3,,
17760,Dar Said,Sidi Bou Said,27/01/2026,,Aromair500,WC,450ml,Myrrh,,
17766,Be Babel,Marsa,27/01/2026,Ghassen,Zee300,entrée,900ml,T.S,,
15917,Darty,Marsa,14/01/2026,Ghassen,Zee300,Entrée,260ml,Agru,Changement fréq Diff (Entrée) = 1-3 d'après mme ghoussoune / Problème Prise courant diff entré Darty,
17777,Dr Skander Ben Gueder,Sousse,29/01/2026,Ghassen,Aromair150,entrée,300ml,F.C,Changement Fréqu de deux diff = 90 - 300,
17777,Dr Skander Ben Gueder,Sousse,29/01/2026,Ghassen,Aromair150,au fond,300ml,F.C,,
17765,Oishi,Soukra,27/01/2026,Ghassen,Astree,entrée,300ml,Agrume,,
15929,Spectra,Lac 3,15/01/2026,Houssem,Astree,entrée,,R.G,Commande confirmée 2 Bouteilles F.The,
15929,Spectra,Lac 3,15/01/2026,Houssem,Astree,+2,,F.The,,
15929,Spectra,Lac 3,15/01/2026,Houssem,Iceburg,-1,,F.The,,
15929,Spectra,Lac 3,15/01/2026,Houssem,Zee300,B.D,,B+,,
17756,Le Sportif,Soukra,26/01/2026,Ghassen,Aromair100,entrée,300ml,P.O,,
16990,Labo Dr Abir,Ennasr,23/01/2026,Ghassen,Aomair50,entrée,,Fe3,Changement Prog de deux Diff = 60 - 2/40,
16990,Labo Dr Abir,Ennasr,23/01/2026,Ghassen,Aromair150,au fond,,Fe3,,
17779,Med Chakroun,Hammam Sousse,29/01/2026,Ghassen,Zee300,entrée,300ml,TH,payment espéce,
15937,Beppi,Manar City,15/01/2026,Ghassen,Aromair100,entre,,C. Vanille,Commande conforme Bouteille 300 ml Coco Vanille,
15936,Pharmacie de Nuit Maher Guiga,Bardo,15/01/2026,Ghassen,Aromair100,Entrée,300ml,Fe3,,
15919,Clinique Alyssa,Lac 1,14/01/2026,Ghassen,,,,,A cause Réclamation le diff est fonctionné et en bonne état,
17771,Agence de voyage Cyrine Tours,CUN,28/01/2026,Ghassen,Astree,entrée,,TH,Changement fréq = 1-8,
15938,Enzo Mila,Manar City,15/01/2026,,Aromair100,entrée,,Fe2,commande confirmée 300 ml Fe2,
17769,Machewi 5 Etoiles,Borj Twil,28/01/2026,Ghassen,Zee300,Entrée,500ml,Melange,Changement Freq Diff au fond = 200/100,
17769,Machewi 5 Etoiles,Borj Twil,28/01/2026,Ghassen,Zee300,au fond,500ml,melange,,
17751,Arena Gym,Soukra,26/01/2026,Ghassen,Aromair100,entre,300ml,Melange,Changement Plage Horaire = 7:30 -> 12:30,
17775,Meubles Frikha,Kram,28/01/2026,Ghassen,Zee300,entree,300ml,Myrrh,Livraison diff Zee300 + 300 ml parfum Myrrh,
15950,Le Golf,Marsa,19/01/2026,Ghassen,Aromair100,WCF,150ml,Fig,,
15950,Le Golf,Marsa,19/01/2026,Ghassen,Aromair100,WCH,115ml,Fig,,
16986,Pmc Sidi daoud,Sidi daoud,23/01/2026,Ghassen,,,,,Reglage decalage Horaire,
17768,Bank Zitouna,Lac 2,28/01/2026,Ghassen,Astree,Reception 1,300ml,R.G,changement Prog Diff (R.C 1 & R.C 2) = 2/10 = 00 - 23:59 / Changement 3 têtes bouteille de 3 Diff.,
17768,Bank Zitouna,Lac 2,28/01/2026,Ghassen,Iceburg,Reception 2,300ml,Amber,,
16991,Equipement Concept,Soukra,23/01/2026,Houssem,Astree,+1,300ml,R.G,,
17785,Ooredoo,Sfax,30/01/2026,Ghassen,Centrale/CTA,WCF 14,300ml,T.B,,
17785,Ooredoo,Sfax,30/01/2026,Ghassen,Centrale/CTA,WCF 12,300ml,T.B,,
17785,Ooredoo,Sfax,30/01/2026,Ghassen,Zee300,entrée,300ml,B.U,,
17773,JC,Menzah 5,28/01/2026,Ghassen,Astree,entrée,300ml,C,,
15908,Clinique Ibn Kholdoun,Sousse,13/01/2026,Ghassen & Houssem,Zee300,R.C,150ml,J.B,livraison diff Aromair150 150 ml J.B,
15908,Clinique Ibn Kholdoun,Sousse,13/01/2026,Ghassen & Houssem,Zee300,R.DC,150ml,J.B,,
15908,Clinique Ibn Kholdoun,Sousse,13/01/2026,Ghassen & Houssem,Aromair150,+1,150ml,J.B,,
17783,Hotel Kantaoui,Kantaoui, Sousse,30/01/2026,Ghassen,Aromair150,WCF,300ml,P.O,
17783,Hotel Kantaoui,Kantaoui, Sousse,30/01/2026,Ghassen,Aromair150,WCH,300ml,P.O,
17783,Hotel Kantaoui,Kantaoui, Sousse,30/01/2026,Ghassen,Aromair150,WCHP,300ml,P.O,
17783,Hotel Kantaoui,Kantaoui, Sousse,30/01/2026,Ghassen,Aromair150,WCF P,300ml,P.O,
15949,Hotel Kantaoui,Kantaoui, Sousse,16/01/2026,,,,,Changement Emplacement Diff central (C+A Reception vers chambre standard),
15946,Tony Nasr,Jardin d'El Menzah,17/01/2026,Houssem,Aromair100,Entrée,,F.C,,
15943,Soquibat Group,Lac 1,17/01/2026,Ghassen,,,,,Changement Prog A saut dimanche de 8:00 jusqu'à 19:00,
17761,VIP Zona,Jardin Carthage,27/01/2026,Houssem,Iceburg,Entrée,,R.G,,
15931,Finopti TN,Charguia,15/01/2026,,,,,,Livraison des échantillons et cadeaux,
16989,Hotel Majestic,Tunis,23/01/2026,Houssem,Zee300,+1,300ml,Myrrhe,,
16951,Asteel Flash,Soukra,19/01/2026,Ghassen,Aromair100,RDC R,300ml,Fe3,,
16951,Asteel Flash,Soukra,19/01/2026,Ghassen,Aromair100,RDC Re,300ml,Fe3,,
16951,Asteel Flash,Soukra,19/01/2026,Ghassen,Aromair100,Hall,300ml,Fe3,,
16951,Asteel Flash,Soukra,19/01/2026,Ghassen,Aromair100,1 Re,300ml,F.C,,
16951,Asteel Flash,Soukra,19/01/2026,Ghassen,Aromair100,WC Re,300ml,J.B,,
16951,Asteel Flash,Soukra,19/01/2026,Ghassen,Aromair100,RDC B,300ml,Fe3,,
15920,Sunset Padel,Borj Louzir,14/01/2026,Ghassen,Zee300,Entrée,600ml,F.M,,
15920,Sunset Padel,Borj Louzir,14/01/2026,Ghassen,Aromair100,WCF,300ml,P.C,,
15920,Sunset Padel,Borj Louzir,14/01/2026,Ghassen,Aromair100,WCH,300ml,P.C,,
17784,Distry Cars,Sfax,30/01/2026,Ghassen,Astree,entrée,300ml,Fe2,,
15914,Dar Marsa,Marsa,14/01/2026,Ghassen & Houssem,Zee300,R.C,600ml,M.L,changement plage horaire = 8 -> 20h,
15948,Enzo Mila,Manar City,17/01/2026,Ghassen,Aromair100,entrée,300ml,Fe3,,
15932,Da Pietro,Jardin d'El Menzah,15/01/2026,Ghassen,Aromair100,Restaurant,300ml,R.U,,
17754,Dr Marwa Ben Amor,Bhar Lazrag,26/01/2026,,Iceburg,entrée,300ml,R.G,Livraison Diff Ice burg + 300 ml R.G / Réglage plage Horaire de 9h du matin jusqu a 15h sauf samedi et dim / Réglage Fréquence sur (2-5),
15934,Optique Vision,Jardin d'El Menzah,15/01/2026,Ghassen,Astree,entré,300ml,R.G,paiement espèce,
17752,Corail,Lac 2,26/01/2026,Ghassen,Tour,R.C,130ml,F.M,Changement Plage Horaire = 7:30 vers 20:30 valider par Mr Sami,
15926,Hamdi Workshop,Ennasr,14/01/2026,Ghassen,Aromair100,entre,300ml,J.B,commande confirme 300ml J.B (salle de maquillage),
16997,Artige,Lac 1,24/01/2026,Ghassen,Aromair100,entrée,110ml,Fe3,,
17782,Mall of Sousse,Sousse,30/01/2026,Houssem,Zephyr,WCH RDC,300ml,O.B,,
17782,Mall of Sousse,Sousse,30/01/2026,Houssem,Zephyr,WCF.RDC,300ml,O.B,,
17782,Mall of Sousse,Sousse,30/01/2026,Houssem,Zephyr,C. Mosaique,300ml,O.B,,
17782,Mall of Sousse,Sousse,30/01/2026,Houssem,Zephyr,WCF Mosq,300ml,O.B,,
17782,Mall of Sousse,Sousse,30/01/2026,Houssem,Zephyr,WCH Mosq,300ml,O.B,,
17782,Mall of Sousse,Sousse,30/01/2026,Houssem,Astree,Direction,300ml,O.B,,
17782,Mall of Sousse,Sousse,30/01/2026,Houssem,Aromair150,Mosq,300ml,Agrume,,
16992,Arena Gym,Soukra,24/01/2026,Houssem,Aromair100,Entrée,,mel,,
15922,Cabinet Dr. Haifa Chebbi,Bardo,14/01/2026,Houssem,Astree,Entrée,300ml,R.G,Récuperation 170 ml R.G à l'atelier.,
16952,Laico,Tunis,19/01/2026,,Zee300,13éme étage,,R.U,,
15939,Hotel Diar El Andalous,Sousse,16/01/2026,Ghassen,,,,,Changement Pompe CTA Bas + Douille et raccord / Changement fréq Diff chambre (Aromair150) -> 120-240 / Livraison deux Bouteilles 300 ml (échange) / Récupération bidon + ancien pompe,
17757,Oishi,Soukra,26/01/2026,Houssem,Astree,Entrée,,Agrume,Commande confirmée bouteille 300 ml Agrume,
15930,Clinique Kaynos,Lac 2,15/01/2026,Ghassen,Astree,+1,,Fe3,commande confirmée 2 bouteilles Fe3,
15930,Clinique Kaynos,Lac 2,15/01/2026,Ghassen,Astree,R.C,,Fe3,,
17786,Alia Megdiche,Sfax,30/01/2026,Ghassen,Aromair100,entrée,300ml,R.G,,
15941,Barista's,Aouina,17/01/2026,Ghassen,Aromair100,entrée,300ml,Black off,,
15925,Arena Gym,El Manar,14/01/2026,Ghassen,Aromair100,RDC,,Fe3,diff fermé par le personnel / changement Freq Diff (entree) = 2-6 min,
